地区,北京,天津,石家庄,山西省,呼和浩特,辽宁省,长春,哈尔滨,上海,南京,杭州,合肥,福州,太原,济南,郑州,武汉,长沙,广州,南宁,海口,重庆,成都,贵阳,昆明,拉萨,西安,兰州,西宁,银川,乌鲁木齐,
北京,0 ,112 ,265 ,403 ,413 ,627 ,855 ,1058 ,1071 ,901 ,1130 ,900 ,1568 ,1251 ,365 ,624 ,1056 ,1340 ,1892 ,2051 ,2288 ,1460 ,1526 ,1729 ,2104 ,2563 ,907 ,1181 ,1326 ,892 ,2413 ,
天津,112 ,0 ,263 ,429 ,509 ,604 ,852 ,1068 ,961 ,801 ,1025 ,809 ,1470 ,1169 ,274 ,581 ,988 ,1276 ,1820 ,2003 ,2226 ,1444 ,1529 ,1700 ,2088 ,2604 ,909 ,1227 ,1382 ,955 ,2510 ,
石家庄,265 ,263 ,0 ,174 ,395 ,867 ,1110 ,1319 ,989 ,770 ,1012 ,732 ,1409 ,1048 ,268 ,374 ,831 ,1103 ,1664 ,1796 ,2045 ,1196 ,1269 ,1465 ,1840 ,2346 ,649 ,974 ,1137 ,727 ,2342 ,
山西省,403 ,429 ,174 ,0 ,336 ,1025 ,1258 ,1457 ,1102 ,861 ,1103 ,797 ,1463 ,1069 ,418 ,362 ,829 ,1077 ,1644 ,1726 ,1998 ,1079 ,1126 ,1366 ,1719 ,2176 ,511 ,801 ,964 ,558 ,2193 ,
呼和浩特,413 ,509 ,395 ,336 ,0 ,988 ,1170 ,1330 ,1383 ,1164 ,1406 ,1116 ,1789 ,1404 ,655 ,697 ,1164 ,1408 ,1975 ,2029 ,2317 ,1335 ,1330 ,1643 ,1957 ,2232 ,760 ,863 ,975 ,534 ,2001 ,
辽宁省,627 ,604 ,867 ,1025 ,988 ,0 ,271 ,511 ,1189 ,1160 ,1316 ,1233 ,1792 ,1610 ,793 ,1158 ,1491 ,1783 ,2281 ,2538 ,2718 ,2037 ,2132 ,2275 ,2678 ,3190 ,1513 ,1807 ,1947 ,1507 ,2911 ,
长春,855 ,852 ,1110 ,1258 ,1170 ,271 ,0 ,242 ,1439 ,1427 ,1573 ,1503 ,2048 ,1879 ,1060 ,1420 ,1762 ,2054 ,2551 ,2809 ,2989 ,2295 ,2378 ,2539 ,2937 ,3397 ,1758 ,2017 ,2144 ,1701 ,3002 ,
哈尔滨,1058 ,1068 ,1319 ,1457 ,1330 ,511 ,242 ,0 ,1678 ,1669 ,1813 ,1744 ,2288 ,2121 ,1291 ,1645 ,1999 ,2292 ,2792 ,3044 ,3229 ,2512 ,2583 ,2765 ,3156 ,3561 ,1964 ,2190 ,2304 ,1863 ,3061 ,
上海,1071 ,961 ,989 ,1102 ,1383 ,1189 ,1439 ,1678 ,0 ,272 ,162 ,404 ,613 ,608 ,732 ,828 ,687 ,886 ,1210 ,1605 ,1672 ,1443 ,1661 ,1524 ,1969 ,2907 ,1221 ,1717 ,1911 ,1608 ,3272 ,
南京,901 ,801 ,770 ,861 ,1164 ,1160 ,1427 ,1669 ,272 ,0 ,242 ,143 ,670 ,466 ,539 ,563 ,454 ,702 ,1130 ,1457 ,1581 ,1199 ,1406 ,1315 ,1758 ,2647 ,950 ,1446 ,1640 ,1346 ,3010 ,
杭州,1130 ,1025 ,1012 ,1103 ,1406 ,1316 ,1573 ,1813 ,162 ,242 ,0 ,332 ,476 ,454 ,773 ,793 ,567 ,738 ,1049 ,1445 ,1511 ,1319 ,1548 ,1380 ,1824 ,2797 ,1152 ,1654 ,1849 ,1576 ,3238 ,
合肥,900 ,809 ,732 ,797 ,1116 ,1233 ,1503 ,1744 ,404 ,143 ,332 ,0 ,677 ,378 ,536 ,466 ,316 ,580 ,1048 ,1341 ,1488 ,1057 ,1264 ,1179 ,1621 ,2506 ,824 ,1325 ,1519 ,1247 ,2907 ,
